Date,predicted_value,actual_value
2019-01-09,138.7745022471754,141.6886749267578
2019-01-10,138.6833625759241,141.13479614257812
2019-01-11,140.80500191311012,138.21958923339844
2019-01-14,141.19822425504208,138.85121154785156
2019-01-15,138.53430656132423,138.98724365234378
2019-01-16,138.7590789746605,139.48281860351562
2019-01-17,138.7303478560052,139.22047424316406
2019-01-18,139.53228754415068,140.8043975830078
2019-01-22,138.4950586694963,136.02345275878906
2019-01-23,142.18078591898438,133.53582763671878
2019-01-24,136.17783061276168,134.40065002441406
2019-01-25,133.13288434615106,136.26637268066406
2019-01-28,134.89084329023854,135.76109313964844
2019-01-29,136.98339517291333,136.23724365234378
2019-01-30,136.1305710209358,137.51023864746094
2019-01-31,137.1046957745275,138.29734802246094
2019-02-01,137.08641365939366,138.96781921386722
2019-02-04,138.0772523774899,140.48373413085938
2019-02-05,138.34367473564953,139.53141784667972
2019-02-06,140.3941165393935,137.78230285644528
2019-02-07,140.39017525404324,132.92361450195312
2019-02-08,138.7374452132417,131.87416076660156
2019-02-11,134.21888278800634,133.75930786132812
2019-02-12,133.2934043643004,137.39360046386722
2019-02-13,134.71143475171175,141.82472229003906
2019-02-14,138.51351829070836,139.03584289550778
2019-02-15,141.82259618708622,141.24168395996094
2019-02-19,140.37586787851387,141.44573974609375
2019-02-20,141.97198614568424,137.28671264648438
2019-02-21,142.34783417736207,132.30169677734378
2019-02-22,137.7938552801661,138.11270141601562
2019-02-25,133.73982369840814,138.89006042480472
2019-02-26,139.02577773815165,138.72488403320312
2019-02-27,139.12036396070516,137.56851196289062
2019-02-28,140.644794847688,136.96603393554688
2019-03-01,138.38687779980864,140.37684631347656
2019-03-04,-1058.3595224995188,139.97840881347656
2019-03-05,-1066.551356573531,138.33619689941406
2019-03-06,-1067.9526093755846,134.82823181152344
2019-03-07,-1043.4834709776535,132.4669189453125
2019-03-08,-1008.8764049431945,126.67536926269531
2019-03-11,-982.947919510678,128.69657897949222
2019-03-12,-962.8580066871918,131.21336364746094
2019-03-13,-955.5061315367279,131.84498596191406
2019-03-14,-978.8184004913103,132.5155029296875
2019-03-15,-976.9010733726402,131.83526611328122
2019-03-18,-995.1661699819174,134.66302490234378
2019-03-19,-994.0288472238788,134.30351257324222
2019-03-20,-1031.4754097745038,140.357421875
2019-03-21,-1022.4867154249985,141.4748992919922
2019-03-22,-1052.5467710586151,136.58706665039062
2019-03-25,-1051.7868287908036,135.974853515625
2019-03-26,-998.6772415067726,139.026123046875
2019-03-27,-1006.2675948671201,142.9907989501953
2019-03-28,-1039.7611334032983,148.9118194580078
2019-03-29,-1041.5911788554074,148.2982940673828
2019-04-01,-1061.636599785347,147.04205322265625
2019-04-02,-1057.63543870066,144.3054962158203
2019-04-03,-1071.8831886013297,142.24095153808594
2019-04-04,-1069.0443092091282,143.66278076171875
2019-04-05,-1039.7960701402872,146.74012756347656
2019-04-08,-1043.3439262423356,147.7626953125
2019-04-09,-1045.376729051857,145.04562377929688
2019-04-10,-1070.5302309897254,146.55511474609375
2019-04-11,-1028.9893419228267,146.97386169433594
