Date,predicted_value,actual_value
2019-01-09,145.0216064453125,141.6886749267578
2019-01-10,148.17864990234375,141.13479614257812
2019-01-11,149.07522583007812,138.21958923339844
2019-01-14,149.39527893066406,138.85121154785156
2019-01-15,148.9432830810547,138.98724365234378
2019-01-16,148.68641662597656,139.48281860351562
2019-01-17,149.32846069335938,139.22047424316406
2019-01-18,149.1990966796875,140.8043975830078
2019-01-22,148.78390502929688,136.02345275878906
2019-01-23,149.0585174560547,133.53582763671878
2019-01-24,144.8277130126953,134.40065002441406
2019-01-25,142.21080017089844,136.26637268066406
2019-01-28,142.1313018798828,135.76109313964844
2019-01-29,143.87625122070312,136.23724365234378
2019-01-30,142.24761962890625,137.51023864746094
2019-01-31,143.33480834960938,138.29734802246094
2019-02-01,143.67698669433594,138.96781921386722
2019-02-04,144.6466522216797,140.48373413085938
2019-02-05,145.71302795410156,139.53141784667972
2019-02-06,145.773193359375,137.78230285644528
2019-02-07,145.55995178222656,132.92361450195312
2019-02-08,144.69842529296875,131.87416076660156
2019-02-11,140.75448608398438,133.75930786132812
2019-02-12,139.47708129882812,137.39360046386722
2019-02-13,139.92544555664062,141.82472229003906
2019-02-14,141.25254821777344,139.03584289550778
2019-02-15,144.5765838623047,141.24168395996094
2019-02-19,143.83209228515625,141.44573974609375
2019-02-20,147.8179931640625,137.28671264648438
2019-02-21,148.09228515625,132.30169677734378
2019-02-22,144.99156188964844,138.11270141601562
2019-02-25,140.345458984375,138.89006042480472
2019-02-26,140.76963806152344,138.72488403320312
2019-02-27,141.08018493652344,137.56851196289062
2019-02-28,141.38308715820312,136.96603393554688
2019-03-01,141.9993896484375,140.37684631347656
2019-03-04,140.98043823242188,139.97840881347656
2019-03-05,142.2517547607422,138.33619689941406
2019-03-06,143.9639129638672,134.82823181152344
2019-03-07,142.8676300048828,132.4669189453125
2019-03-08,140.7280731201172,126.67536926269531
2019-03-11,139.434814453125,128.69657897949222
2019-03-12,135.39247131347656,131.21336364746094
2019-03-13,134.1191864013672,131.84498596191406
2019-03-14,135.35560607910156,132.5155029296875
2019-03-15,136.22926330566406,131.83526611328122
2019-03-18,137.11151123046875,134.66302490234378
2019-03-19,136.9349365234375,134.30351257324222
2019-03-20,139.38685607910156,140.357421875
2019-03-21,140.1841278076172,141.4748992919922
2019-03-22,141.3895721435547,136.58706665039062
2019-03-25,144.98509216308594,135.974853515625
2019-03-26,142.90505981445312,139.026123046875
2019-03-27,141.91661071777344,142.9907989501953
2019-03-28,144.32009887695312,148.9118194580078
2019-03-29,146.78375244140625,148.2982940673828
2019-04-01,149.00323486328125,147.04205322265625
2019-04-02,150.48037719726562,144.3054962158203
2019-04-03,151.41943359375,142.24095153808594
2019-04-04,149.68130493164062,143.66278076171875
2019-04-05,148.87628173828125,146.74012756347656
2019-04-08,146.83099365234375,147.7626953125
2019-04-09,149.4958953857422,145.04562377929688
2019-04-10,150.39370727539062,146.55511474609375
2019-04-11,149.93240356445312,146.97386169433594
2019-04-12,150.23265075683594,163.9188995361328
2019-04-15,150.4625244140625,163.3540802001953
2019-04-16,162.50050354003906,166.76255798339844
2019-04-17,167.60377502441406,168.4765167236328
2019-04-18,168.76731872558594,170.48268127441406
2019-04-22,169.4901885986328,171.2909698486328
2019-04-23,171.80392456054688,171.12539672851562
2019-04-24,175.5543975830078,167.86300659179688
2019-04-25,176.45993041992188,163.6169891357422
2019-04-26,175.13998413085938,160.6272735595703
2019-04-29,171.04698181152344,161.4160919189453
2019-04-30,168.07028198242188,162.1075439453125
2019-05-01,167.76974487304688,153.84925842285156
2019-05-02,167.74180603027344,149.45718383789062
2019-05-03,161.85166931152344,152.0086669921875
2019-05-06,154.3838653564453,152.2034454345703
2019-05-07,154.85003662109375,144.1009979248047
2019-05-08,154.23316955566406,149.7493438720703
2019-05-09,151.23178100585938,149.38900756835938
2019-05-10,152.4601287841797,147.6847686767578
2019-05-13,153.41741943359375,143.37060546875
2019-05-14,152.98873901367188,146.4187774658203
2019-05-15,151.46412658691406,147.52896118164062
2019-05-16,152.1248016357422,151.03482055664062
2019-05-17,152.7841796875,150.23626708984375
2019-05-20,158.2750244140625,150.17784118652344
2019-05-21,158.28147888183594,153.78109741210938
2019-05-22,158.3618621826172,149.14553833007812
2019-05-23,159.36032104492188,141.7734832763672
2019-05-24,158.34690856933594,143.1563720703125
2019-05-28,150.6757049560547,144.03282165527344
2019-05-29,148.97390747070312,142.757080078125
2019-05-30,148.99481201171875,140.65354919433594
2019-05-31,148.7891845703125,138.24815368652344
2019-06-03,148.53121948242188,138.88113403320312
2019-06-04,148.01536560058594,140.83859252929688
2019-06-05,147.53334045410156,137.8001708984375
2019-06-06,147.96554565429688,140.23478698730472
2019-06-07,144.74794006347656,141.18917846679688
2019-06-10,145.4288787841797,140.94570922851562
2019-06-11,147.0713348388672,142.30909729003906
2019-06-12,147.7366485595703,137.62489318847656
2019-06-13,148.0784149169922,139.50439453125
2019-06-14,146.27381896972656,137.87808227539062
2019-06-17,146.57943725585938,140.82882690429688
2019-06-18,144.89566040039062,145.87339782714844
2019-06-19,145.38172912597656,144.5587158203125
2019-06-20,148.48899841308594,150.304443359375
2019-06-21,148.77963256835938,151.15171813964844
2019-06-24,151.54074096679688,147.32443237304688
2019-06-25,156.50894165039062,144.3152618408203
2019-06-26,153.0800018310547,147.28549194335938
2019-06-27,150.70423889160156,146.86672973632812
2019-06-28,151.32183837890625,149.83700561523438
2019-07-01,151.50140380859375,147.32443237304688
2019-07-02,152.28810119628906,140.72172546386722
2019-07-03,152.76031494140625,141.74429321289062
