Date,predicted_value,actual_value
2019-01-09,135.78689575195312,141.6886749267578
2019-01-10,138.52297973632812,141.13479614257812
2019-01-11,141.69891357421875,138.21958923339844
2019-01-14,143.61883544921875,138.85121154785156
2019-01-15,144.38099670410156,138.98724365234378
2019-01-16,144.74844360351562,139.48281860351562
2019-01-17,144.4586944580078,139.22047424316406
2019-01-18,143.44508361816406,140.8043975830078
2019-01-22,143.63011169433594,136.02345275878906
2019-01-23,144.69583129882812,133.53582763671878
2019-01-24,143.70455932617188,134.40065002441406
2019-01-25,141.98228454589844,136.26637268066406
2019-01-28,140.5769805908203,135.76109313964844
2019-01-29,140.39952087402344,136.23724365234378
2019-01-30,139.4559783935547,137.51023864746094
2019-01-31,139.71475219726562,138.29734802246094
2019-02-01,140.0396270751953,138.96781921386722
2019-02-04,140.90542602539062,140.48373413085938
2019-02-05,141.44100952148438,139.53141784667972
2019-02-06,141.91201782226562,137.78230285644528
2019-02-07,142.598388671875,132.92361450195312
2019-02-08,142.73524475097656,131.87416076660156
2019-02-11,141.56248474121094,133.75930786132812
2019-02-12,139.7262420654297,137.39360046386722
2019-02-13,138.51995849609375,141.82472229003906
2019-02-14,137.83013916015625,139.03584289550778
2019-02-15,138.1053466796875,141.24168395996094
2019-02-19,138.64761352539062,141.44573974609375
2019-02-20,141.01454162597656,137.28671264648438
2019-02-21,142.66893005371094,132.30169677734378
2019-02-22,143.114990234375,138.11270141601562
2019-02-25,141.9704132080078,138.89006042480472
2019-02-26,141.28109741210938,138.72488403320312
2019-02-27,139.44168090820312,137.56851196289062
2019-02-28,137.78016662597656,136.96603393554688
2019-03-01,137.95005798339844,140.37684631347656
2019-03-04,138.47793579101562,139.97840881347656
2019-03-05,138.91261291503906,138.33619689941406
2019-03-06,139.6858673095703,134.82823181152344
2019-03-07,139.64553833007812,132.4669189453125
2019-03-08,139.55099487304688,126.67536926269531
2019-03-11,139.00128173828125,128.69657897949222
2019-03-12,137.17010498046875,131.21336364746094
2019-03-13,135.3003387451172,131.84498596191406
2019-03-14,133.88421630859375,132.5155029296875
2019-03-15,132.83245849609375,131.83526611328122
2019-03-18,133.17152404785156,134.66302490234378
2019-03-19,133.3072052001953,134.30351257324222
2019-03-20,134.3170928955078,140.357421875
2019-03-21,135.48251342773438,141.4748992919922
2019-03-22,136.48306274414062,136.58706665039062
2019-03-25,138.62489318847656,135.974853515625
2019-03-26,139.24041748046875,139.026123046875
2019-03-27,140.0116424560547,142.9907989501953
2019-03-28,141.32843017578125,148.9118194580078
2019-03-29,141.9159698486328,148.2982940673828
2019-04-01,142.8422088623047,147.04205322265625
2019-04-02,145.0248260498047,144.3054962158203
2019-04-03,145.68380737304688,142.24095153808594
2019-04-04,148.28997802734375,143.66278076171875
2019-04-05,148.77105712890625,146.74012756347656
2019-04-08,148.01663208007812,147.7626953125
2019-04-09,146.05166625976562,145.04562377929688
2019-04-10,144.8338165283203,146.55511474609375
2019-04-11,144.55877685546875,146.97386169433594
2019-04-12,145.6625213623047,163.9188995361328
2019-04-15,145.74745178222656,163.3540802001953
2019-04-16,147.1420440673828,166.76255798339844
2019-04-17,149.947998046875,168.4765167236328
2019-04-18,153.61276245117188,170.48268127441406
2019-04-22,158.62892150878906,171.2909698486328
2019-04-23,161.4297637939453,171.12539672851562
2019-04-24,163.41368103027344,167.86300659179688
2019-04-25,164.6433868408203,163.6169891357422
2019-04-26,165.52139282226562,160.6272735595703
2019-04-29,165.55978393554688,161.4160919189453
2019-04-30,164.52122497558594,162.1075439453125
2019-05-01,162.6961669921875,153.84925842285156
2019-05-02,160.70748901367188,149.45718383789062
2019-05-03,158.22308349609375,152.0086669921875
2019-05-06,155.76173400878906,152.2034454345703
2019-05-07,154.43411254882812,144.1009979248047
2019-05-08,152.0843963623047,149.7493438720703
2019-05-09,149.76925659179688,149.38900756835938
2019-05-10,149.35655212402344,147.6847686767578
2019-05-13,148.15904235839844,143.37060546875
2019-05-14,148.47299194335938,146.4187774658203
2019-05-15,148.81808471679688,147.52896118164062
2019-05-16,149.10108947753906,151.03482055664062
2019-05-17,149.38101196289062,150.23626708984375
2019-05-20,150.11788940429688,150.17784118652344
2019-05-21,150.3329315185547,153.78109741210938
2019-05-22,150.98672485351562,149.14553833007812
2019-05-23,152.36431884765625,141.7734832763672
2019-05-24,153.3326416015625,143.1563720703125
2019-05-28,151.87127685546875,144.03282165527344
2019-05-29,150.19009399414062,142.757080078125
2019-05-30,148.19102478027344,140.65354919433594
2019-05-31,145.62806701660156,138.24815368652344
2019-06-03,144.2283935546875,138.88113403320312
2019-06-04,143.328857421875,140.83859252929688
2019-06-05,143.31158447265625,137.8001708984375
2019-06-06,143.2159881591797,140.23478698730472
2019-06-07,142.34222412109375,141.18917846679688
2019-06-10,141.866943359375,140.94570922851562
2019-06-11,142.33192443847656,142.30909729003906
2019-06-12,142.44874572753906,137.62489318847656
2019-06-13,142.9049072265625,139.50439453125
2019-06-14,143.12648010253906,137.87808227539062
2019-06-17,143.79550170898438,140.82882690429688
2019-06-18,143.79937744140625,145.87339782714844
2019-06-19,143.17042541503906,144.5587158203125
2019-06-20,143.35809326171875,150.304443359375
2019-06-21,144.26219177246094,151.15171813964844
2019-06-24,145.83633422851562,147.32443237304688
2019-06-25,148.01690673828125,144.3152618408203
2019-06-26,150.158935546875,147.28549194335938
2019-06-27,150.59971618652344,146.86672973632812
2019-06-28,151.14202880859375,149.83700561523438
2019-07-01,151.02943420410156,147.32443237304688
2019-07-02,150.82554626464844,140.72172546386722
2019-07-03,151.32012939453125,141.74429321289062
2019-07-05,151.20693969726562,142.6889190673828
2019-07-08,150.20709228515625,141.9877471923828
2019-07-09,149.1481170654297,139.61154174804688
2019-07-10,148.0727996826172,142.76683044433594
2019-07-11,146.6180419921875,141.07229614257812
2019-07-12,146.81808471679688,140.5172119140625
2019-07-15,147.28627014160156,137.0113525390625
2019-07-16,147.97879028320312,136.39781188964844
2019-07-17,148.20423889160156,132.77510070800778
2019-07-18,147.83494567871094,132.54136657714844
2019-07-19,145.97471618652344,134.45985412597656
2019-07-22,143.5333709716797,134.61566162109378
2019-07-23,142.18214416503906,136.3101806640625
2019-07-24,141.48904418945312,135.98881530761722
2019-07-25,141.320556640625,132.3563232421875
2019-07-26,141.7209014892578,132.13232421875
2019-07-29,142.12570190429688,130.06777954101562
2019-07-30,141.2743377685547,134.28456115722656
2019-07-31,139.90530395507812,134.43063354492188
2019-08-01,139.1658477783203,124.22466278076172
2019-08-02,138.8849639892578,123.94224548339844
2019-08-05,136.58128356933594,118.65422821044922
2019-08-06,134.23550415039062,117.08631896972656
2019-08-07,131.29733276367188,118.93663024902344
2019-08-08,129.01614379882812,123.46505737304688
2019-08-09,126.45162963867188,122.87100219726562
2019-08-12,125.31952667236328,123.43585205078124
2019-08-13,125.03034210205078,125.00374603271484
2019-08-14,124.995849609375,119.51122283935548
2019-08-15,126.22525787353516,119.79364013671876
2019-08-16,126.51019287109375,121.35179901123048
2019-08-19,125.8668441772461,124.8674087524414
2019-08-20,126.16230773925781,123.28975677490234
2019-08-21,126.1168441772461,123.62088012695312
2019-08-22,125.34124755859375,122.77362823486328
2019-08-23,126.20875549316406,117.4953384399414
2019-08-26,127.74361419677734,117.10579681396484
