Date,predicted_value,actual_value
2019-01-09,98.51347938308841,102.32981872558594
2019-01-10,100.55312976030986,98.66983795166016
2019-01-11,102.11032913712997,105.48118591308594
2019-01-14,99.36580348534768,104.19470977783205
2019-01-15,105.4750327868086,104.13487243652344
2019-01-16,103.79042399113202,104.2645263671875
2019-01-17,103.66104485062836,107.26629638671876
2019-01-18,104.35777897752168,109.879150390625
2019-01-22,107.30415620927472,104.76315307617188
2019-01-23,110.12137286943563,103.91547393798828
2019-01-24,104.97069105031757,105.7005844116211
2019-01-25,103.75504542848803,108.07408905029295
2019-01-28,105.55556372660574,108.15386962890624
2019-01-29,108.12081161190407,107.95442199707031
2019-01-30,108.0228807967908,110.04867553710938
2019-01-31,107.86545054261553,108.81207275390624
2019-02-01,109.88937547957865,108.4630355834961
2019-02-04,108.80172234039442,108.61262512207031
2019-02-05,108.59163916441459,111.50469970703124
2019-02-06,108.51512306056232,111.96344757080078
2019-02-07,111.43072732989101,110.8963623046875
2019-02-08,111.89566409807891,110.58721160888672
2019-02-11,110.72144928855955,112.4720458984375
2019-02-12,110.72906107694543,114.01781463623048
2019-02-13,112.14357423119027,112.22274017333984
2019-02-14,114.1686262091451,112.08312225341795
2019-02-15,111.90765738737748,112.59172821044922
2019-02-19,111.57869474055794,112.41221618652344
2019-02-20,112.49005885172024,113.74855041503906
2019-02-21,112.49320986942173,114.78571319580078
2019-02-22,113.87961379342444,117.29883575439452
2019-02-25,114.75929473720716,115.50374603271484
2019-02-26,117.04583663223299,115.4040298461914
2019-02-27,115.57226847543855,116.03050994873048
2019-02-28,115.45965029994359,114.56404113769531
2019-03-01,115.90731185445874,114.84336853027344
2019-03-04,114.73455839919417,111.83062744140624
2019-03-05,114.78015060369218,110.96271514892578
2019-03-06,111.90301152872674,109.83543395996094
2019-03-07,111.06989388994818,109.99505615234376
2019-03-08,110.17739693785207,110.01499938964844
2019-03-11,109.33679035005413,111.72088623046876
2019-03-12,109.96455562984671,111.7607879638672
2019-03-13,111.87185939914231,112.84818267822266
2019-03-14,111.45513319163236,112.44913482666016
2019-03-15,113.01736544802345,110.24445343017578
2019-03-18,111.94456392598791,111.18218994140624
2019-03-19,110.41507639490511,109.80551147460938
2019-03-20,110.9323366537446,106.8326644897461
2019-03-21,109.62934003053176,108.42881774902344
2019-03-22,106.68857373571258,106.95238494873048
2019-03-25,108.29657768809354,108.92761993408205
2019-03-26,106.5706920886811,109.83543395996094
2019-03-27,108.65840717872062,110.62353515625
2019-03-28,109.41492679724361,126.95419311523438
2019-03-29,110.16712795852307,121.6569595336914
2019-04-01,124.69960247343626,124.72955322265624
2019-04-02,119.76259034940854,123.90154266357422
2019-04-03,122.75628861165042,124.18087768554688
2019-04-04,121.86261612031116,128.18124389648438
2019-04-05,122.78337857916667,126.95419311523438
2019-04-08,125.91891040660217,127.09386444091795
2019-04-09,125.83097740573534,126.29578399658205
2019-04-10,124.97904662980234,127.02404022216795
2019-04-11,124.50806284801071,126.60504150390624
2019-04-12,125.2120237416412,128.83966064453122
2019-04-15,124.92918946788673,128.43063354492188
2019-04-16,126.71315819731826,129.63774108886722
2019-04-17,126.54007710065834,132.01200866699222
2019-04-18,127.63000418569659,131.88232421875
2019-04-22,129.76289706116614,130.61537170410156
2019-04-23,129.92477021849146,131.8125
2019-04-24,128.68301418251536,132.39109802246094
2019-04-25,129.49207355252628,129.71754455566406
2019-04-26,130.1314278087621,130.70516967773438
2019-04-29,128.04637382500505,130.32608032226562
2019-04-30,128.9864642641906,128.6800537109375
2019-05-01,128.30014418299538,128.01165771484378
2019-05-02,126.97964148038785,127.54277801513672
2019-05-03,126.18708962780785,126.8743896484375
2019-05-06,125.77384187981916,123.68209075927734
2019-05-07,125.55909427513855,121.52726745605469
2019-05-08,121.68904374975013,121.148193359375
2019-05-09,119.10045079309062,120.3600845336914
2019-05-10,119.24668217385666,119.10311126708984
2019-05-13,118.62814812275498,112.22966766357422
2019-05-14,117.21441014086828,112.09999084472656
2019-05-15,110.38520248376479,110.66343688964844
2019-05-16,110.43204860273927,110.13471221923828
2019-05-17,109.06619756639425,108.44876098632812
2019-05-20,108.55834760323769,105.80514526367188
2019-05-21,106.95360940244463,108.29803466796876
2019-05-22,104.05442620068398,109.34588623046876
2019-05-23,106.65582861264939,107.07054901123048
2019-05-24,108.00547914146814,106.74121856689452
2019-05-28,105.21863871141461,105.6833953857422
2019-05-29,105.57634614169821,99.0469970703125
2019-05-30,103.71344154771988,84.31717681884766
2019-05-31,97.85067920168349,85.0157470703125
2019-06-03,83.73034838224966,87.54058074951172
2019-06-04,83.47754712078098,90.86376190185548
2019-06-05,86.68847475139934,89.07742309570312
2019-06-06,90.07402490243801,87.70024871826172
2019-06-07,88.36513754095593,88.18924713134766
2019-06-10,86.7388660432568,89.58638763427734
2019-06-11,87.0679034353334,88.51856994628906
2019-06-12,88.55791460385605,87.1214370727539
2019-06-13,87.62052352675501,89.58638763427734
2019-06-14,86.14534241937498,87.86990356445312
2019-06-17,88.4550341980375,88.13934326171875
2019-06-18,87.04613966273503,89.45664978027344
2019-06-19,86.95407807352866,87.69026947021484
2019-06-20,88.66944271763289,90.24503326416016
2019-06-21,86.90290246260686,93.06925201416016
2019-06-24,89.09359123805935,92.44053649902344
2019-06-25,91.37188317485369,91.103271484375
2019-06-26,91.21107650072601,93.3686294555664
2019-06-27,90.24845925685862,93.08920288085938
2019-06-28,92.07413706089541,94.44642639160156
2019-07-01,92.06962880650475,95.06514739990234
2019-07-02,93.2738741910717,93.52831268310548
